cod_com,comuna,agno,grado,prom_soc2m_com,dif_soc2m_com,sigdif_soc2m_com
7309,VICHUQUÉN,2017,2m,238,-23,Negativa y significativa
9211,VICTORIA,2017,2m,238,-7,No significativa
4106,VICUÑA,2017,2m,237,0,No significativa
9119,VILCÚN,2017,2m,240,4,No significativa
7407,VILLA ALEGRE,2017,2m,224,2,No significativa
5804,VILLA ALEMANA,2017,2m,258,0,No significativa
9120,VILLARRICA,2017,2m,249,0,No significativa
13132,VITACURA,2017,2m,294,-6,No significativa
5109,VIÑA DEL MAR,2017,2m,261,-3,No significativa
7408,YERBAS BUENAS,2017,2m,236,12,Positiva y significativa
8313,YUMBEL,2017,2m,244,4,No significativa
8421,YUNGAY,2017,2m,258,-8,No significativa
5405,ZAPALLAR,2017,2m,252,9,No significativa
8409,ÑIQUÉN,2017,2m,213,-7,No significativa
13120,ÑUÑOA,2017,2m,256,-1,No significativa
