cod_com,comuna,agno,grado,prom_lect6b_com,prom_mate6b_com,dif_lect6b_com,dif_mate6b_com,sigdif_lect6b_com,sigdif_mate6b_com
22,ANGOL,2015,6b,250,252,5,2,No significativa,No significativa
1,CARAHUE,2015,6b,237,226,-2,0,No significativa,No significativa
2,CHOLCHOL,2015,6b,232,214,-4,-9,No significativa,No significativa
23,COLLIPULLI,2015,6b,238,229,-2,-8,No significativa,Negativa y significativa
3,CUNCO,2015,6b,245,243,9,12,Positiva y significativa,Positiva y significativa
24,CURACAUTÍN,2015,6b,220,217,1,-5,No significativa,No significativa
12,CURARREHUE,2015,6b,256,238,5,12,No significativa,Positiva y significativa
25,ERCILLA,2015,6b,242,223,16,12,Positiva y significativa,Positiva y significativa
13,FREIRE,2015,6b,236,226,-8,-9,Negativa y significativa,Negativa y significativa
4,GALVARINO,2015,6b,226,220,-14,-5,Negativa y significativa,No significativa
14,GORBEA,2015,6b,229,221,-3,-10,No significativa,Negativa y significativa
5,LAUTARO,2015,6b,241,230,11,0,Positiva y significativa,No significativa
15,LONCOCHE,2015,6b,237,236,-2,-4,No significativa,No significativa
26,LONQUIMAY,2015,6b,228,221,-7,-1,No significativa,No significativa
27,LOS SAUCES,2015,6b,248,233,3,-1,No significativa,No significativa
28,LUMACO,2015,6b,235,224,-1,1,No significativa,No significativa
6,MELIPEUCO,2015,6b,248,233,26,12,Positiva y significativa,Positiva y significativa
7,NUEVA IMPERIAL,2015,6b,246,243,10,11,Positiva y significativa,Positiva y significativa
16,PADRE LAS CASAS,2015,6b,245,245,2,1,No significativa,No significativa
8,PERQUENCO,2015,6b,210,218,-26,-14,Negativa y significativa,Negativa y significativa
17,PITRUFQUÉN,2015,6b,253,250,13,-1,Positiva y significativa,No significativa
18,PUCÓN,2015,6b,258,252,3,-1,No significativa,No significativa
29,PURÉN,2015,6b,237,238,-10,6,Negativa y significativa,No significativa
30,RENAICO,2015,6b,224,215,-13,-17,Negativa y significativa,Negativa y significativa
9,SAAVEDRA,2015,6b,230,214,-2,8,No significativa,No significativa
10,TEMUCO,2015,6b,255,257,7,1,Positiva y significativa,No significativa
19,TEODORO SCHMIDT,2015,6b,247,228,9,9,Positiva y significativa,No significativa
20,TOLTÉN,2015,6b,241,233,-4,2,No significativa,No significativa
31,TRAIGUÉN,2015,6b,244,243,5,6,No significativa,No significativa
32,VICTORIA,2015,6b,245,241,6,9,No significativa,Positiva y significativa
11,VILCÚN,2015,6b,243,236,5,-2,No significativa,No significativa
21,VILLARRICA,2015,6b,253,248,3,-4,No significativa,No significativa
9201,ANGOL,2016,6b,255,258,5,6,No significativa,No significativa
9102,CARAHUE,2016,6b,240,233,2,5,No significativa,No significativa
9121,CHOLCHOL,2016,6b,230,217,-2,2,No significativa,No significativa
9202,COLLIPULLI,2016,6b,241,232,4,4,No significativa,No significativa
9103,CUNCO,2016,6b,242,236,-3,-7,No significativa,No significativa
