PERIODO_IN,RUT_EMPRES,DESCRIPCIO,REGION,SISTEMA,COD_OBRA,NOM_OBRA,ANO_CONST,ESTADO_USO,COTA_TERRE,TIP_TRATAM,PTAS_CON_P,RECEPTOR,TIPO_RECEP,CAU_MAXDIA,CAU_MEDMEN,CAU_MAXPUN,CARGA_DBO5,CARGA_SST,CARGA_NKT,CARGA_PT,TELEMETRIA,TELECONTRO,UTM_NORTE,UTM_ESTE,VIGENCIA,COORDS_X,COORDS_Y
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,CHOL CHOL,15,PTAS - CHOLCHOL,2006,EN_OPERACION,34,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Chol Chol,RIO_CON_DILUCION,1060.2,11.9,25.53,202.68,145.93,46.62,10.13,NO_EXISTE,NO_EXISTE,5719249.44,166007.32,1,-72.83561579661558,-38.6124233165616
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,LAUTARO,21,PTAS - LAUTARO,2006,EN_OPERACION,191,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Cautín,RIO_CON_DILUCION,8561.3,96.2,141.1,1428.92,1028.82,400.1,71.45,EXISTE,EXISTE,5726211.99,200064.97,1,-72.44219089267592,-38.56195369644266
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,LONCOCHE,23,PTAS - LONCOCHE,2005,EN_OPERACION,102,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Cruces,RIO_CON_DILUCION,5208.49,69,100.8,964.96,694.77,270.19,48.25,EXISTE,EXISTE,5634948.82,185568.96,1,-72.65019163691325,-39.37770306284988
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,ANGOL,24,PTAS - ANGOL,2006,EN_OPERACION,65,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Vergara,RIO_CON_DILUCION,13195.1,145.9,228.1,2976,2232,595,149,EXISTE,EXISTE,5811719.46,174741.44,1,-72.69320245125108,-37.78402685715677
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,COLLIPULLI,25,PTAS - COLLIPULLI,2006,EN_OPERACION,238,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Malleco,RIO_CON_DILUCION,4864.2,54,92.3,933,671.76,154.5,7.73,EXISTE,EXISTE,5794254.85,196659.92,1,-72.45208568930056,-37.948686816824136
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,CARAHUE,28,PTAS - CARAHUE,2006,EN_OPERACION,1,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Imperial,RIO_CON_DILUCION,2589.9,28.4,57.3,698,698,174,35,EXISTE,EXISTE,5705995.51,137506.62,1,-73.16906461173359,-38.720373287810006
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,PUERTO SAAVEDRA,18,PTAS - PUERTO SAAVEDRA,2006,EN_OPERACION,5,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Imperial,RIO_CON_DILUCION,1248.59,11.8,24.5,160,115.24,36.8,8,NO_EXISTE,NO_EXISTE,5699103.59,117963.82,1,-73.39703316796135,-38.774075346406114
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,NUEVA IMPERIAL,29,PTAS - NUEVA IMPERIAL,2007,EN_OPERACION,60,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Chol Chol,RIO_CON_DILUCION,3667.23,56,93.5,802.96,802.96,200.74,40.15,EXISTE,EXISTE,5703719.09,154621.81,1,-72.97380768233084,-38.74768806586455
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,VILLARRICA,30,PTAS - VILLARRICA,2008,EN_OPERACION,215,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,NO_EXISTE_PEAS,Río Toltén,RIO_CON_DILUCION,15508.8,174,256,3035,2185,698,152,EXISTE,EXISTE,5649505.64,218421.5,1,-72.26332813636346,-39.25808262782833
201012,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,LONQUIMAY,31,PTAS - LONQUIMAY,2010,EN_OPERACION,911.5,LODOS_ACTIVADOS,NO_EXISTE_PEAS,Río Lonquimay,RIO_CON_DILUCION,1254.2,14.52,29.7,169.4,135.5,48.4,6.8,NO_EXISTE,EXISTE,5740223.83,294342.23,1,-71.35714794905638,-38.46260493143186
201612,96889730,EMPRESA DE SERVICIOS SANITARIOS SAN ISIDRO S.A.,REGION DE LA ARAUCANIA,LABRANZA,104,PTAS - NUEVA LABRANZA,2016,EN_OPERACION,98,LODOS_ACTIVADOS,PEASLABRA-6,Rio Cautin,RIO_SIN_DILUCION,4810,53,76,2100,1800,150,15,NO_EXISTE,NO_EXISTE,5701250,172421,1,-72.77060924378424,-38.77666981833137
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,VILCUN,13,PTAS - VILCUN,2002,EN_OPERACION,275,LODOS_ACTIVADOS,34040301,Río Vilcún,RIO_CON_DILUCION,1255.82,13.46,39.26,295.6,236.47,73.9,14.78,NO_EXISTE,NO_EXISTE,5714607.56,218416.2,1,-72.23659880090261,-38.6723665835382
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,TRAIGUEN,12,PTAS - TRAIGUEN,2002,EN_OPERACION,165,LODOS_ACTIVADOS,32040302,Río Traiguén,RIO_CON_DILUCION,5989.69,77.1,117.6,1171.9,1408,265,67.81,NO_EXISTE,NO_EXISTE,5758704.07,177465.21,1,-72.68617737767272,-38.26182753000712
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,RENAICO,16,PTAS - RENAICO,2006,EN_OPERACION,66,LAGUNA_AIREADA,30040301,Río Renaico,RIO_CON_DILUCION,2111.96,29.5,44.2,435.68,326.76,121.99,21.78,NO_EXISTE,NO_EXISTE,5824589.83,182415.82,1,-72.60060564498426,-37.670949953172716
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,PITRUFQUEN,22,PTAS - PITRUFQUEN,2006,EN_OPERACION,76,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,25040301,Río Toltén,RIO_CON_DILUCION,8779.34,121.5,174.6,1039,1039,260,52,EXISTE,EXISTE,5679738.85,184071.07,1,-72.64665335302405,-38.974373719545724
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,TEMUCO,27,PTAS - TEMUCO,2006,EN_OPERACION,75,LODOS_ACTIVADOS,31040303,Río Cautín,RIO_CON_DILUCION,82947.89,910.5,1323.4,20239,14167,5566,1113,EXISTE,EXISTE,5703324.17,177973.73,1,-72.70585332284675,-38.760060754106725
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,NUEVA TOLTEN,19,PTAS - NUEVA TOLTEN,2006,EN_OPERACION,3,LAGUNA_AIREADA,23040301,Río Toltén,RIO_CON_DILUCION,863.57,9.6,19.6,173.04,138.43,39.8,8.65,NO_EXISTE,NO_EXISTE,5654534.43,139775.28,1,-73.17009918455824,-39.18381533825289
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,CURACAUTIN,26,PTAS - CURACAUTÍN,2006,EN_OPERACION,501,TRATAMIENTO_PRIMARIO_CON_DESINFECCION,9040302,Río Blanco,RIO_CON_DILUCION,6366.4,72.1,99.7,755.52,755.52,188.88,37.78,EXISTE,EXISTE,5741788.42,246134.91,1,-71.90851375379103,-38.436109748758504
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,CUNCO,20,PTAS - CUNCO,2006,EN_OPERACION,355,LAGUNA_AIREADA,8040302,Río Allipen,RIO_CON_DILUCION,1466,16,34.6,473.68,378.94,108.95,23.68,NO_EXISTE,NO_EXISTE,5683883.82,235674.14,1,-72.05028028939392,-38.95416568486986
