code,municipality,year,numero_de_psu_igual_o_superior_a_450_puntos_que_rinde_la_prueba_por_primera_vez_en_colegios_municipales,numero_de_alumnos_de_4º_medio_de_colegios_municipales_que_rindieron_la_psu_por_primera_vez,numero_de_psu_igual_o_superior_a_450_puntos_que_rinde_la_prueba_por_primera_vez_en_colegios_particulares_subvencionados,numero_de_alumnos_de_4º_medio_de_colegios_particulares_subvencionados_que_rindieron_la_psu_por_primera_vez,numero_de_psu_igual_o_superior_a_450_puntos_que_rinde_la_prueba_por_primera_vez_en_colegios_particulares_pagados,numero_de_alumnos_de_4º_medio_de_colegios_particulares_que_rindieron_la_psu_por_primera_vez,porcentaje_de_puntajes_psu_igual_o_superior_a_450_puntos_en_establecimientos_municipales_de_educacion,porcentaje_de_puntajes_psu_igual_o_superior_a_450_puntos_en_establecimientos_particulares_subvencionados_de_educacion,porcentaje_de_puntajes_psu_igual_o_superior_a_450_puntos_en_establecimientos_particulares_pagados_de_educacion
09113,PERQUENCO,2005,3,23,1,3,0,0,13.04,33.33,0
09114,PITRUFQUÉN,2005,49,104,80,142,0,0,47.12,56.34,0
09115,PUCÓN,2005,17,28,37,97,0,0,60.71,38.14,0
09116,SAAVEDRA,2005,1,7,0,14,0,0,14.29,0,0
09117,TEODORO SCHMIDT,2005,0,0,1,13,0,0,0,7.69,0
09118,TOLTÉN,2005,2,2,1,6,0,0,100,16.67,0
09119,VILCÚN,2005,7,15,10,17,0,0,46.67,58.82,0
09120,VILLARRICA,2005,69,136,218,263,45,49,50.74,82.89,91.84
09121,CHOLCHOL,2005,0,0,0,0,0,0,0,0,0
09201,ANGOL,2005,174,370,81,114,27,28,47.03,71.05,96.43
09202,COLLIPULLI,2005,10,24,21,37,0,0,41.67,56.76,0
09203,CURACAUTÍN,2005,74,126,0,0,0,0,58.73,0,0
09204,ERCILLA,2005,3,11,0,2,0,0,27.27,0,0
09205,LONQUIMAY,2005,30,54,0,0,0,0,55.56,0,0
09206,LOS SAUCES,2005,2,17,0,0,0,0,11.76,0,0
09207,LUMACO,2005,8,26,0,0,0,0,30.77,0,0
09208,PURÉN,2005,25,43,0,0,0,0,58.14,0,0
09209,RENAICO,2005,2,26,0,0,0,0,7.69,0,0
09210,TRAIGUÉN,2005,51,96,34,47,0,0,53.13,72.34,0
09211,VICTORIA,2005,72,173,121,175,0,0,41.62,69.14,0
09101,TEMUCO,2004,452,716,1106,1514,394,419,63.13,73.05,94.03
09102,CARAHUE,2004,61,110,1,22,0,0,55.45,4.55,0
09103,CUNCO,2004,12,38,29,61,0,0,31.58,47.54,0
09104,CURARREHUE,2004,2,10,0,10,0,0,20,0,0
09105,FREIRE,2004,8,16,1,6,0,0,50,16.67,0
09106,GALVARINO,2004,14,32,0,0,0,0,43.75,0,0
09107,GORBEA,2004,12,25,0,0,0,0,48,0,0
09108,LAUTARO,2004,53,128,0,0,0,0,41.41,0,0
09109,LONCOCHE,2004,76,101,1,4,0,0,75.25,25,0
09110,MELIPEUCO,2004,2,16,0,0,0,0,12.5,0,0
09111,NUEVA IMPERIAL,2004,15,64,61,155,0,0,23.44,39.35,0
09112,PADRE LAS CASAS,2004,7,16,38,79,0,0,43.75,48.1,0
09113,PERQUENCO,2004,3,28,0,0,0,0,10.71,0,0
09114,PITRUFQUÉN,2004,46,99,59,126,0,0,46.46,46.83,0
09115,PUCÓN,2004,20,33,18,78,0,0,60.61,23.08,0
09116,SAAVEDRA,2004,7,17,0,0,0,0,41.18,0,0
09117,TEODORO SCHMIDT,2004,0,0,5,7,0,0,0,71.43,0
09118,TOLTÉN,2004,1,1,0,0,0,0,100,0,0
09119,VILCÚN,2004,0,6,14,27,0,0,0,51.85,0
09120,VILLARRICA,2004,47,101,207,262,27,31,46.53,79.01,87.1
09121,CHOLCHOL,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
09201,ANGOL,2004,187,355,63,87,43,46,52.68,72.41,93.48
09202,COLLIPULLI,2004,8,26,25,38,0,0,30.77,65.79,0
09203,CURACAUTÍN,2004,54,112,0,0,0,0,48.21,0,0
09204,ERCILLA,2004,3,3,1,4,0,0,100,25,0
09205,LONQUIMAY,2004,22,49,0,0,0,0,44.9,0,0
09206,LOS SAUCES,2004,3,19,0,0,0,0,15.79,0,0
09207,LUMACO,2004,4,20,0,0,0,0,20,0,0
09208,PURÉN,2004,17,38,0,0,0,0,44.74,0,0
09209,RENAICO,2004,0,20,0,0,0,0,0,0,0
09210,TRAIGUÉN,2004,79,122,29,40,0,0,64.75,72.5,0
09211,VICTORIA,2004,55,131,112,146,0,0,41.98,76.71,0
09101,TEMUCO,2003,433,793,983,1398,362,400,54.6,70.31,90.5
09102,CARAHUE,2003,63,120,8,24,0,0,52.5,33.33,0
09103,CUNCO,2003,10,45,12,36,0,0,22.22,33.33,0
09104,CURARREHUE,2003,2,23,1,14,0,0,8.7,7.14,0
09105,FREIRE,2003,7,32,1,6,0,0,21.88,16.67,0
09106,GALVARINO,2003,3,18,0,0,0,0,16.67,0,0
09107,GORBEA,2003,5,17,0,0,0,0,29.41,0,0
09108,LAUTARO,2003,35,96,0,1,0,0,36.46,0,0
09109,LONCOCHE,2003,46,89,0,5,0,0,51.69,0,0
09110,MELIPEUCO,2003,1,15,0,1,0,0,6.67,0,0
09111,NUEVA IMPERIAL,2003,24,79,42,155,0,0,30.38,27.1,0
09112,PADRE LAS CASAS,2003,4,11,28,81,0,0,36.36,34.57,0
09113,PERQUENCO,2003,4,17,0,0,0,0,23.53,0,0
09114,PITRUFQUÉN,2003,28,68,63,116,0,0,41.18,54.31,0
09115,PUCÓN,2003,8,18,24,63,0,0,44.44,38.1,0
09116,SAAVEDRA,2003,1,11,0,0,0,0,9.09,0,0
09117,TEODORO SCHMIDT,2003,0,0,6,24,0,0,0,25,0
09118,TOLTÉN,2003,1,3,0,0,0,0,33.33,0,0
09119,VILCÚN,2003,1,10,11,27,0,0,10,40.74,0
09120,VILLARRICA,2003,26,77,202,280,14,14,33.77,72.14,100
09121,CHOLCHOL,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
09201,ANGOL,2003,140,328,37,54,36,38,42.68,68.52,94.74
09202,COLLIPULLI,2003,5,19,7,12,0,0,26.32,58.33,0
09203,CURACAUTÍN,2003,58,92,0,0,0,0,63.04,0,0
09204,ERCILLA,2003,4,15,0,6,0,0,26.67,0,0
09205,LONQUIMAY,2003,27,45,0,0,0,0,60,0,0
09206,LOS SAUCES,2003,2,14,0,0,0,0,14.29,0,0
09207,LUMACO,2003,4,22,0,0,0,0,18.18,0,0
09208,PURÉN,2003,17,46,0,0,0,0,36.96,0,0
09209,RENAICO,2003,4,17,0,0,0,0,NA,NA,NA
09210,TRAIGUÉN,2003,61,115,36,56,0,0,53.04,64.29,0
09211,VICTORIA,2003,45,134,110,164,0,0,33.58,67.07,0
09101,TEMUCO,2002,330,768,970,1520,319,369,42.97,63.82,86.45
09102,CARAHUE,2002,28,81,2,40,0,0,34.57,5,0
09103,CUNCO,2002,9,40,16,42,0,0,22.5,38.1,0
09104,CURARREHUE,2002,0,19,0,11,0,0,0,0,0
09105,FREIRE,2002,8,37,2,4,0,0,21.62,50,0
09106,GALVARINO,2002,7,20,0,2,0,0,35,0,0
09107,GORBEA,2002,3,17,0,0,0,0,17.65,0,0
09108,LAUTARO,2002,39,113,0,2,0,0,34.51,0,0
09109,LONCOCHE,2002,45,102,0,5,0,0,44.12,0,0
09110,MELIPEUCO,2002,1,19,0,3,0,0,5.26,0,0
09111,NUEVA IMPERIAL,2002,21,137,28,148,0,0,15.33,18.92,0
09112,PADRE LAS CASAS,2002,0,0,30,88,0,0,0,34.09,0
09113,PERQUENCO,2002,1,16,0,0,0,0,6.25,0,0
09114,PITRUFQUÉN,2002,21,66,39,111,0,0,31.82,35.14,0
09115,PUCÓN,2002,6,40,9,58,0,0,15,15.52,0
09116,SAAVEDRA,2002,1,20,0,0,0,0,5,0,0
09117,TEODORO SCHMIDT,2002,0,NA,0,15,0,0,NA,0,0
09118,TOLTÉN,2002,5,10,0,0,0,0,50,0,0
09119,VILCÚN,2002,2,11,6,18,0,0,18.18,33.33,0
09120,VILLARRICA,2002,33,100,167,304,14,14,33,54.93,100
09121,CHOLCHOL,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
09201,ANGOL,2002,152,397,24,43,26,28,38.29,55.81,92.86
09202,COLLIPULLI,2002,12,39,11,20,0,0,30.77,55,0
09203,CURACAUTÍN,2002,46,95,0,0,0,0,48.42,0,0
09204,ERCILLA,2002,2,9,0,0,0,0,22.22,0,0
09205,LONQUIMAY,2002,16,48,0,0,0,0,33.33,0,0
09206,LOS SAUCES,2002,1,18,0,0,0,0,5.56,0,0
09207,LUMACO,2002,1,34,0,0,0,0,2.94,0,0
09208,PURÉN,2002,23,60,0,0,0,0,38.33,0,0
09209,RENAICO,2002,2,32,0,0,0,0,6.25,0,0
09210,TRAIGUÉN,2002,55,127,19,40,0,0,43.31,47.5,0
09211,VICTORIA,2002,26,106,89,162,0,0,24.53,54.94,0
09101,TEMUCO,2001,342,819,851,1412,323,379,41.76,60.27,85.22
09102,CARAHUE,2001,28,76,5,27,0,0,36.84,18.52,0
09103,CUNCO,2001,2,38,10,48,0,0,5.26,20.83,0
09104,CURARREHUE,2001,0,16,0,0,0,0,0,0,0
09105,FREIRE,2001,6,33,2,6,0,0,18.18,33.33,0
09106,GALVARINO,2001,6,22,0,0,0,0,27.27,0,0
09107,GORBEA,2001,10,43,0,0,0,0,23.26,0,0
09108,LAUTARO,2001,41,153,0,1,0,0,26.8,0,0
09109,LONCOCHE,2001,32,93,0,10,0,0,34.41,0,0
09110,MELIPEUCO,2001,1,20,0,0,0,0,5,0,0
09111,NUEVA IMPERIAL,2001,27,102,48,151,0,0,26.47,31.79,0
09112,PADRE LAS CASAS,2001,0,0,17,48,0,0,0,35.42,0
09113,PERQUENCO,2001,2,19,0,0,0,0,10.53,0,0
09114,PITRUFQUÉN,2001,25,90,44,110,0,0,27.78,40,0
09115,PUCÓN,2001,8,23,17,74,0,0,34.78,22.97,0
09116,SAAVEDRA,2001,5,29,0,0,0,0,17.24,0,0
09117,TEODORO SCHMIDT,2001,0,0,4,23,0,0,0,17.39,0
09118,TOLTÉN,2001,2,13,0,0,0,0,15.38,0,0
09119,VILCÚN,2001,0,14,6,33,0,0,0,18.18,0
09120,VILLARRICA,2001,46,136,160,253,10,10,33.82,63.24,100
09121,CHOLCHOL,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
09201,ANGOL,2001,138,344,16,39,32,40,40.12,41.03,80
09202,COLLIPULLI,2001,12,44,1,10,0,0,27.27,10,0
09203,CURACAUTÍN,2001,35,115,0,0,0,0,30.43,0,0
09204,ERCILLA,2001,4,17,0,0,0,0,23.53,0,0
09205,LONQUIMAY,2001,10,40,0,0,0,0,25,0,0
09206,LOS SAUCES,2001,1,28,0,0,0,0,3.57,0,0
09207,LUMACO,2001,3,49,0,0,0,0,6.12,0,0
09208,PURÉN,2001,17,53,0,0,0,0,32.08,0,0
09209,RENAICO,2001,2,26,0,0,0,0,7.69,0,0
09210,TRAIGUÉN,2001,57,138,17,26,0,0,41.3,65.38,0
09211,VICTORIA,2001,43,120,85,135,0,0,35.83,62.96,0
