cod_com,comuna,agno,grado,prom_soc6b_com,dif_soc6b_com,sigdif_soc6b_com
22,ANGOL,2015,6b,250,NA,NA
1,CARAHUE,2015,6b,243,NA,NA
2,CHOLCHOL,2015,6b,239,NA,NA
23,COLLIPULLI,2015,6b,237,NA,NA
3,CUNCO,2015,6b,245,NA,NA
24,CURACAUTÍN,2015,6b,218,NA,NA
12,CURARREHUE,2015,6b,257,NA,NA
25,ERCILLA,2015,6b,240,NA,NA
13,FREIRE,2015,6b,233,NA,NA
4,GALVARINO,2015,6b,233,NA,NA
14,GORBEA,2015,6b,227,NA,NA
5,LAUTARO,2015,6b,245,NA,NA
15,LONCOCHE,2015,6b,236,NA,NA
26,LONQUIMAY,2015,6b,226,NA,NA
27,LOS SAUCES,2015,6b,246,NA,NA
28,LUMACO,2015,6b,239,NA,NA
6,MELIPEUCO,2015,6b,239,NA,NA
7,NUEVA IMPERIAL,2015,6b,250,NA,NA
16,PADRE LAS CASAS,2015,6b,247,NA,NA
8,PERQUENCO,2015,6b,216,NA,NA
17,PITRUFQUÉN,2015,6b,249,NA,NA
18,PUCÓN,2015,6b,260,NA,NA
29,PURÉN,2015,6b,243,NA,NA
30,RENAICO,2015,6b,230,NA,NA
9,SAAVEDRA,2015,6b,227,NA,NA
10,TEMUCO,2015,6b,257,NA,NA
19,TEODORO SCHMIDT,2015,6b,250,NA,NA
20,TOLTÉN,2015,6b,236,NA,NA
31,TRAIGUÉN,2015,6b,248,NA,NA
32,VICTORIA,2015,6b,247,NA,NA
11,VILCÚN,2015,6b,247,NA,NA
21,VILLARRICA,2015,6b,251,NA,NA
9201,ANGOL,2016,6b,249,-1,No significativa
9102,CARAHUE,2016,6b,236,-7,No significativa
9121,CHOLCHOL,2016,6b,218,-21,Negativa y significativa
9202,COLLIPULLI,2016,6b,241,4,No significativa
9103,CUNCO,2016,6b,234,-11,Negativa y significativa
9203,CURACAUTÍN,2016,6b,228,10,Positiva y significativa
9104,CURARREHUE,2016,6b,251,-6,No significativa
9204,ERCILLA,2016,6b,232,-8,No significativa
9105,FREIRE,2016,6b,240,7,No significativa
9106,GALVARINO,2016,6b,225,-8,No significativa
9107,GORBEA,2016,6b,229,2,No significativa
9108,LAUTARO,2016,6b,244,-1,No significativa
9109,LONCOCHE,2016,6b,247,11,Positiva y significativa
9205,LONQUIMAY,2016,6b,233,7,No significativa
9206,LOS SAUCES,2016,6b,238,-8,No significativa
9207,LUMACO,2016,6b,222,-17,Negativa y significativa
9110,MELIPEUCO,2016,6b,236,-3,No significativa
9111,NUEVA IMPERIAL,2016,6b,243,-7,No significativa
9112,PADRE LAS CASAS,2016,6b,251,5,No significativa
9113,PERQUENCO,2016,6b,240,24,Positiva y significativa
9114,PITRUFQUÉN,2016,6b,256,7,No significativa
9115,PUCÓN,2016,6b,242,-18,Negativa y significativa
9208,PURÉN,2016,6b,243,0,No significativa
9209,RENAICO,2016,6b,237,7,No significativa
9116,SAAVEDRA,2016,6b,266,39,Positiva y significativa
9101,TEMUCO,2016,6b,254,-3,No significativa
9117,TEODORO SCHMIDT,2016,6b,254,4,No significativa
9118,TOLTÉN,2016,6b,239,3,No significativa
9210,TRAIGUÉN,2016,6b,235,-13,Negativa y significativa
9211,VICTORIA,2016,6b,248,1,No significativa
9119,VILCÚN,2016,6b,242,-5,No significativa
9120,VILLARRICA,2016,6b,251,0,No significativa
