cod_com,comuna,agno,grado,prom_lect4b_com,prom_mate4b_com,dif_lect4b_com,dif_mate4b_com,sigdif_lect4b_com,sigdif_mate4b_com
9105,Freire,2018,4b,252,232,-11,-6,-1,0
9102,Carahue,2018,4b,259,240,1,0,0,0
9103,Cunco,2018,4b,262,244,5,4,0,0
9106,Galvarino,2018,4b,249,229,-9,-4,0,0
9108,Lautaro,2018,4b,261,239,5,-1,0,0
9110,Melipeuco,2018,4b,256,227,-6,-2,0,0
9111,Nueva Imperial,2018,4b,267,247,-1,-8,0,-1
9207,Lumaco,2018,4b,251,229,-17,-24,-1,-1
9208,Purén,2018,4b,256,245,-17,-10,-1,-1
9209,Renaico,2018,4b,279,271,21,11,1,1
9210,Traiguén,2018,4b,270,267,-6,6,0,0
9211,Victoria,2018,4b,263,240,-4,-13,0,-1
9101,Temuco,2018,4b,280,265,3,0,0,0
