cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
14202,FUTRONO,2016,2m,220,-13,Negativa y significativa
9106,GALVARINO,2016,2m,204,-12,No significativa
15202,GENERAL LAGOS,2016,2m,NA,NA,NA
9107,GORBEA,2016,2m,219,9,No significativa
6106,GRANEROS,2016,2m,219,-8,No significativa
11203,GUAITECAS,2016,2m,223,7,No significativa
5503,HIJUELAS,2016,2m,227,-8,No significativa
10403,HUALAIHUÉ,2016,2m,233,0,No significativa
7302,HUALAÑÉ,2016,2m,233,-13,Negativa y significativa
8112,HUALPÉN,2016,2m,247,-12,Negativa y significativa
8105,HUALQUI,2016,2m,210,-10,No significativa
1404,HUARA,2016,2m,211,2,No significativa
3304,HUASCO,2016,2m,209,-20,Negativa y significativa
13107,HUECHURABA,2016,2m,260,-12,Negativa y significativa
4201,ILLAPEL,2016,2m,232,-4,No significativa
13108,INDEPENDENCIA,2016,2m,234,-3,No significativa
1101,IQUIQUE,2016,2m,240,-7,No significativa
13603,ISLA DE MAIPO,2016,2m,229,-4,No significativa
5201,ISLA DE PASCUA,2016,2m,240,4,No significativa
5104,JUAN FERNÁNDEZ,2016,2m,249,24,No significativa
13109,LA CISTERNA,2016,2m,232,-3,No significativa
5504,LA CRUZ,2016,2m,223,1,No significativa
6202,LA ESTRELLA,2016,2m,NA,NA,NA
13110,LA FLORIDA,2016,2m,247,-7,Negativa y significativa
13111,LA GRANJA,2016,2m,234,-4,No significativa
4104,LA HIGUERA,2016,2m,NA,NA,NA
5401,LA LIGUA,2016,2m,233,-10,Negativa y significativa
13112,LA PINTANA,2016,2m,232,-5,No significativa
13113,LA REINA,2016,2m,277,-5,No significativa
4101,LA SERENA,2016,2m,250,-11,Negativa y significativa
14201,LA UNIÓN,2016,2m,235,-14,Negativa y significativa
14203,LAGO RANCO,2016,2m,241,6,No significativa
11102,LAGO VERDE,2016,2m,NA,NA,NA
12102,LAGUNA BLANCA,2016,2m,NA,NA,NA
8304,LAJA,2016,2m,231,-11,Negativa y significativa
13302,LAMPA,2016,2m,230,-2,No significativa
14103,LANCO,2016,2m,223,1,No significativa
6107,LAS CABRAS,2016,2m,233,-7,No significativa
13114,LAS CONDES,2016,2m,287,-9,Negativa y significativa
9108,LAUTARO,2016,2m,215,-2,No significativa
8201,LEBU,2016,2m,236,0,No significativa
7303,LICANTÉN,2016,2m,235,-1,No significativa
5802,LIMACHE,2016,2m,228,-11,Negativa y significativa
7401,LINARES,2016,2m,247,-7,No significativa
6203,LITUECHE,2016,2m,255,19,Positiva y significativa
5703,LLAILLAY,2016,2m,226,-9,No significativa
10107,LLANQUIHUE,2016,2m,212,-12,No significativa
13115,LO BARNECHEA,2016,2m,285,-5,No significativa
13116,LO ESPEJO,2016,2m,228,-11,Negativa y significativa
13117,LO PRADO,2016,2m,221,1,No significativa
6304,LOLOL,2016,2m,224,-16,Negativa y significativa
9109,LONCOCHE,2016,2m,233,-5,No significativa
7403,LONGAVÍ,2016,2m,229,0,No significativa
9205,LONQUIMAY,2016,2m,224,0,No significativa
5301,LOS ANDES,2016,2m,235,-6,No significativa
14104,LOS LAGOS,2016,2m,217,-16,Negativa y significativa
10106,LOS MUERMOS,2016,2m,225,-15,Negativa y significativa
9206,LOS SAUCES,2016,2m,219,-3,No significativa
4203,LOS VILOS,2016,2m,224,-3,No significativa
8206,LOS ÁLAMOS,2016,2m,214,-7,No significativa
8301,LOS ÁNGELES,2016,2m,245,-9,Negativa y significativa
8106,LOTA,2016,2m,228,-7,No significativa
9207,LUMACO,2016,2m,204,-5,No significativa
6108,MACHALÍ,2016,2m,265,-6,No significativa
13118,MACUL,2016,2m,247,-13,Negativa y significativa
13119,MAIPÚ,2016,2m,250,-6,Negativa y significativa
6109,MALLOA,2016,2m,219,14,No significativa
6204,MARCHIHUE,2016,2m,235,10,No significativa
14106,MARIQUINA,2016,2m,249,6,No significativa
2302,MARÍA ELENA,2016,2m,227,12,No significativa
13504,MARÍA PINTO,2016,2m,204,-16,Negativa y significativa
7105,MAULE,2016,2m,241,2,No significativa
10108,MAULLÍN,2016,2m,212,-13,No significativa
2102,MEJILLONES,2016,2m,208,-7,No significativa
9110,MELIPEUCO,2016,2m,227,-2,No significativa
13501,MELIPILLA,2016,2m,232,-8,Negativa y significativa
7304,MOLINA,2016,2m,229,-3,No significativa
4303,MONTE PATRIA,2016,2m,230,28,Positiva y significativa
6110,MOSTAZAL,2016,2m,205,-9,No significativa
8305,MULCHÉN,2016,2m,224,-8,No significativa
14105,MÁFIL,2016,2m,223,4,No significativa
8306,NACIMIENTO,2016,2m,234,-10,No significativa
6305,NANCAGUA,2016,2m,231,0,No significativa
12401,NATALES,2016,2m,229,-5,No significativa
6205,NAVIDAD,2016,2m,246,19,Positiva y significativa
8307,NEGRETE,2016,2m,216,-1,No significativa
8408,NINHUE,2016,2m,219,-19,Negativa y significativa
5506,NOGALES,2016,2m,224,0,No significativa
