cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
9120,Villarrica,2018,2m,248,1,0
9107,Gorbea,2018,2m,225,6,0
9109,Loncoche,2018,2m,242,9,0
9112,Padre las Casas,2018,2m,233,2,0
9114,Pitrufquén,2018,2m,246,14,1
9115,Pucón,2018,2m,245,12,1
9117,Teodoro Schmidt,2018,2m,226,5,0
9113,Perquenco,2018,2m,214,1,0
9116,Saavedra,2018,2m,221,13,0
9119,Vilcún,2018,2m,232,6,0
9121,Cholchol,2018,2m,216,-5,0
9104,Curarrehue,2018,2m,215,0,0
9105,Freire,2018,2m,218,4,0
9102,Carahue,2018,2m,228,15,1
9103,Cunco,2018,2m,234,5,0
9106,Galvarino,2018,2m,214,10,0
9108,Lautaro,2018,2m,219,4,0
9110,Melipeuco,2018,2m,238,11,0
9111,Nueva Imperial,2018,2m,225,2,0
9207,Lumaco,2018,2m,217,13,0
9208,Purén,2018,2m,235,2,0
9209,Renaico,2018,2m,215,2,0
9210,Traiguén,2018,2m,222,-3,0
9211,Victoria,2018,2m,233,6,0
9101,Temuco,2018,2m,253,2,0
10101,Puerto Montt,2018,2m,241,3,0
10102,Calbuco,2018,2m,228,0,0
10103,Cochamó,2018,2m,234,18,1
10104,Fresia,2018,2m,223,-4,0
10105,Frutillar,2018,2m,231,-2,0
10106,Los Muermos,2018,2m,234,9,0
10305,Río Negro,2018,2m,236,10,1
10306,San Juan de la Costa,2018,2m,216,7,0
10307,San Pablo,2018,2m,223,7,0
10401,Chaitén,2018,2m,229,-14,0
10402,Futaleufú,2018,2m,257,23,1
10404,Palena,2018,2m,236,-1,0
10209,Quemchi,2018,2m,225,16,0
10210,Quinchao,2018,2m,240,-1,0
10301,Osorno,2018,2m,251,7,1
10302,Puerto Octay,2018,2m,221,5,0
10303,Purranque,2018,2m,238,8,0
10304,Puyehue,2018,2m,235,5,0
10203,Chonchi,2018,2m,224,10,1
10204,Curaco de Vélez,2018,2m,226,-5,0
10205,Dalcahue,2018,2m,198,-9,0
10206,Puqueldón,2018,2m,NA,NA,NA
10207,Queilén,2018,2m,219,1,0
10208,Quellón,2018,2m,238,12,1
10107,Llanquihue,2018,2m,210,-2,0
10108,Maullín,2018,2m,225,13,1
10109,Puerto Varas,2018,2m,254,7,0
10403,Hualaihué,2018,2m,234,1,0
10201,Castro,2018,2m,247,6,0
10202,Ancud,2018,2m,235,-3,0
11101,Coyhaique,2018,2m,241,0,0
11102,Lago Verde,2018,2m,NA,NA,NA
11201,Aysén,2018,2m,241,0,0
11202,Cisnes,2018,2m,223,-5,0
11203,Guaitecas,2018,2m,224,1,0
11301,Cochrane,2018,2m,243,25,1
11302,O'higgins,2018,2m,NA,NA,NA
11303,Tortel,2018,2m,NA,NA,NA
11401,Chile Chico,2018,2m,239,1,0
11402,Río Ibáñez,2018,2m,217,9,0
12101,Punta Arenas,2018,2m,244,4,0
12102,Laguna Blanca,2018,2m,NA,NA,NA
12103,Río Verde,2018,2m,NA,NA,NA
12104,San Gregorio,2018,2m,NA,NA,NA
12201,Cabo de Hornos,2018,2m,261,41,1
12202,Antártica,2018,2m,NA,NA,NA
12301,Porvenir,2018,2m,228,8,0
12302,Primavera,2018,2m,NA,NA,NA
12303,Timaukel,2018,2m,NA,NA,NA
12401,Natales,2018,2m,239,10,1
12402,Torres del Paine,2018,2m,NA,NA,NA
13101,Santiago,2018,2m,248,-3,0
13121,Pedro Aguirre Cerda,2018,2m,235,1,0
13129,San Joaquín,2018,2m,220,-2,0
13130,San Miguel,2018,2m,237,3,0
13105,El Bosque,2018,2m,236,-8,-1
13109,La Cisterna,2018,2m,230,-3,0
13127,Recoleta,2018,2m,238,2,0
13301,Colina,2018,2m,252,-3,0
13302,Lampa,2018,2m,228,-2,0
13303,Tiltil,2018,2m,228,7,0
13202,Pirque,2018,2m,229,-1,0
13203,San José de Maipo,2018,2m,224,-3,0
13104,Conchalí,2018,2m,225,4,0
13107,Huechuraba,2018,2m,266,6,0
13108,Independencia,2018,2m,233,-2,0
13125,Quilicura,2018,2m,245,3,0
13603,Isla de Maipo,2018,2m,239,10,1
13604,Padre Hurtado,2018,2m,230,-1,0
13605,Peñaflor,2018,2m,232,2,0
13110,La Florida,2018,2m,247,0,0
13112,La Pintana,2018,2m,230,-2,0
13201,Puente Alto,2018,2m,246,1,0
13502,Alhué,2018,2m,217,7,0
13503,Curacaví,2018,2m,225,-9,0
13504,María Pinto,2018,2m,218,14,1
13505,San Pedro,2018,2m,210,-7,0
13601,Talagante,2018,2m,243,0,0
13602,El Monte,2018,2m,233,14,1
13117,Lo Prado,2018,2m,220,-1,0
13119,Maipú,2018,2m,251,1,0
13124,Pudahuel,2018,2m,233,4,0
13126,Quinta Normal,2018,2m,223,-6,0
13128,Renca,2018,2m,239,-1,0
13501,Melipilla,2018,2m,234,2,0
13122,Peñalolén,2018,2m,253,2,0
13123,Providencia,2018,2m,269,-11,-1
13132,Vitacura,2018,2m,287,-14,-1
13102,Cerrillos,2018,2m,234,-4,0
13103,Cerro Navia,2018,2m,215,-8,0
13106,Estación Central,2018,2m,236,4,0
13404,Paine,2018,2m,239,3,0
13113,La Reina,2018,2m,274,-4,0
13114,Las Condes,2018,2m,280,-7,0
13115,Lo Barnechea,2018,2m,278,-7,-1
13118,Macul,2018,2m,246,-1,0
13120,Ñuñoa,2018,2m,248,-3,0
13111,La granja,2018,2m,233,-1,0
13116,Lo Espejo,2018,2m,234,6,0
13131,San Ramón,2018,2m,227,2,0
13401,San Bernardo,2018,2m,238,5,0
13402,Buin,2018,2m,239,-4,0
13403,Calera de Tango,2018,2m,255,-6,0
14101,Valdivia,2018,2m,248,2,0
14102,Corral,2018,2m,222,-4,0
14103,Lanco,2018,2m,219,-4,0
14104,Los Lagos,2018,2m,212,-5,0
14105,Máfil,2018,2m,230,7,0
14106,Mariquina,2018,2m,240,-9,-1
14107,Paillaco,2018,2m,237,9,0
14108,Panguipulli,2018,2m,234,4,0
14201,La Unión,2018,2m,246,11,1
14202,Futrono,2018,2m,223,3,0
14203,Lago Ranco,2018,2m,245,4,0
14204,Río Bueno,2018,2m,239,7,0
15101,Arica,2018,2m,240,3,0
15102,Camarones,2018,2m,201,0,0
15201,Putre,2018,2m,223,14,0
15202,General Lagos,2018,2m,NA,NA,NA
16101,Chillán,2018,2m,245,3,0
16102,Bulnes,2018,2m,236,5,0
16103,Chillán Viejo,2018,2m,230,10,0
16104,El Carmen,2018,2m,222,-12,-1
16105,Pemuco,2018,2m,204,-10,0
16106,Pinto,2018,2m,218,-9,0
16201,Quirihue,2018,2m,250,6,0
16202,Cobquecura,2018,2m,209,-3,0
16203,Coelemu,2018,2m,240,8,0
16207,Treguaco,2018,2m,222,4,0
16301,San Carlos,2018,2m,247,8,1
16302,Coihueco,2018,2m,232,-8,0
16107,Quillón,2018,2m,228,9,0
16108,San Ignacio,2018,2m,227,4,0
16109,Yungay,2018,2m,245,0,0
16303,Ñiquén,2018,2m,213,0,0
16304,San Fabián,2018,2m,228,-22,-1
16305,San Nicolás,2018,2m,282,9,1
16204,Ninhue,2018,2m,230,11,0
16205,Portezuelo,2018,2m,213,-15,-1
16206,Ránquil,2018,2m,226,17,1
